Michael Magee	Durham University	Spectral theory / hyperbolic surfaces	The result supplies rigorously located resonances for a thin/non-arithmetic spectral setting adjacent to his work on gaps and random covers.	A
Hee Oh	Yale University	Hyperbolic dynamics / thin groups	The example gives exact spectral data for a non-arithmetic Fuchsian group, complementing her work on dynamics and counting for thin groups.	A
Dale Winter	Queen Mary University of London	Resonances / hyperbolic dynamics	The certified pins are relevant to his work on resonance-free regions and transfer operators for hyperbolic systems.	A
Alexander Gamburd	CUNY Graduate Center	Spectral theory / thin groups / quantum chaos	The arithmeticity discriminant and explicit non-arithmetic resonances connect to his work on spectral gaps and thin-group dynamics.	A
Alex Kontorovich	Rutgers University	Thin groups / automorphic forms	The (G_5) control case clarifies where automorphic-looking analytic structure ceases to enforce arithmetic spectral rigidity.	A
Johannes Sjöstrand	Université de Bourgogne	Resonances / semiclassical analysis	Rigorous localization by contour and determinant methods is closely aligned with his foundational resonance and non-self-adjoint spectral theory.	A
András Vasy	Stanford University	Microlocal scattering theory	The result provides concrete divisor-level data to compare with the general meromorphic and microlocal scattering framework.	A
Jared Wunsch	Northwestern University	Microlocal analysis / scattering	Certified resonances on a cusped hyperbolic orbifold give a precise example for the geometric scattering phenomena he studies.	A
Kiril Datchev	Purdue University	Resonances / scattering	The two pins provide explicit, fully certified resonance locations complementary to resolvent and resonance-estimate methods.	A
Tanya Christiansen	University of Missouri	Scattering resonances	A first rigorous localization for a non-arithmetic Hecke surface is directly pertinent to her work on resonance distributions and scattering poles.	A
Jeffrey Galkowski	University College London	Semiclassical analysis / resonances	Interval-certified resonance locations can serve as exact benchmarks for semiclassical resonance and computational spectral methods.	A
Long Jin	Tsinghua University	Resonances / hyperbolic dynamics	The (G_5) pins and transfer-operator proof connect to his work on resonances, gaps, and chaotic dynamics.	A
Vesselin Petkov	University of Bordeaux	Scattering / resonances	Explicit certified scattering resonances are a natural concrete case for his long-standing work on resonance distributions and scattering theory.	A
David Dolgopyat	University of Maryland	Hyperbolic dynamics / transfer operators	The certified determinant zeros provide a computationally exact instance of spectral data arising from hyperbolic transfer operators.	A
Viviane Baladi	CNRS / Sorbonne Université	Transfer operators / dynamical zeta functions	The work demonstrates rigorous interval certification for Fredholm determinants and zeros in a setting close to her dynamical-zeta research.	A
Giulio Tiozzo	University of Toronto	Hecke groups / hyperbolic dynamics	The (G_5) setting links Hecke-group geometry, symbolic dynamics, and exact spectral consequences in a way relevant to his work.	A
Morten S. Risager	University of Copenhagen	Automorphic forms / spectral theory	The dissolution and persistence of automorphic spectral features under non-arithmetic deformation are central context for the no-go result.	A
Yiannis N. Petridis	University College London	Spectral theory / hyperbolic surfaces	The scattering determinant, Selberg zeta divisor, and prime-geodesic context overlap directly with his work on hyperbolic surfaces.	A
Andrew Booker	University of Bristol	Computational automorphic forms / L-functions	The Arb-certified contour computation and arithmetic/non-arithmetic distinction align with his rigorous computational work on automorphic spectra and (L)-functions.	A
David Platt	University of Bristol	Rigorous computation / (L)-functions	The interval-certified winding calculation is methodologically close to his rigorous verification of zeros and analytic number-theory computations.	A
Holger Then	University of Bristol	Computational Maass forms / quantum chaos	He has computed Maass cusp forms and quantum-chaotic spectra, making the certified (G_5) resonance data directly useful and assessable.	A
Anton Deitmar	University of Tübingen	Selberg zeta / automorphic forms	The result gives a sharp non-arithmetic example for the zeta, trace-formula, and automorphic spectral structures he studies.	A
Joachim Hilgert	Paderborn University	Representation theory / transfer operators	Hecke-triangle transfer operators and Selberg zeta functions connect the proof directly to his work with automorphic dynamics.	A
Dieter Mayer	Clausthal University of Technology	Transfer operators / Hecke triangle groups	The computation continues the Mayer transfer-operator tradition and rigorously certifies zeros in one of its canonical examples.	A
Markus Mühlenbruch	FernUniversität in Hagen	Hecke triangle groups / period functions	The (G_5) spectral data are directly relevant to his work on period functions and automorphic forms for Hecke triangle groups.	A
Don Zagier	Max Planck Institute for Mathematics	Maass forms / period functions	The explicit non-arithmetic Hecke-group example speaks to his foundational work on Maass forms, period functions, and zeta phenomena.	A
Kathrin Bringmann	University of Cologne	Automorphic forms / Maass forms	The result provides a rigorous spectral countermodel relevant to the broader analytic theory of Maass and automorphic forms.	A
Nikolaos Diamantis	University of Nottingham	Automorphic forms / period functions	Hecke-group period functions and their zeta connections make the certified non-arithmetic example pertinent to his research.	A
Jay Jorgenson	CUNY Graduate Center	Spectral geometry / Selberg zeta	The result supplies certified divisor information for a hyperbolic orbifold, closely tied to his work on spectral invariants and Selberg zeta.	A
Anna-Maria von Pippich	Technische Universität Darmstadt	Automorphic forms / spectral invariants	The explicit scattering and Selberg-zeta data for a one-cusp orbifold fit her work on automorphic Green functions and spectral invariants.	A
Nalini Anantharaman	Collège de France	Quantum chaos / hyperbolic dynamics	The example gives a precise non-arithmetic scattering counterpart to rigidity and delocalization questions in chaotic quantum systems.	A
Steve Zelditch	Northwestern University	Quantum chaos / spectral geometry	The two-pin result is a concrete test of how far generic spectral structure can imitate arithmetic quantum-chaotic behavior.	A
Zeev Rudnick	Tel Aviv University	Arithmetic quantum chaos / Maass forms	The metatheorem isolates arithmetic input as load-bearing, a distinction central to his work on arithmetic spectra and quantum chaos.	A
Elon Lindenstrauss	Hebrew University of Jerusalem	Arithmetic quantum chaos / homogeneous dynamics	The non-arithmetic control case sharpens the contrast with arithmetic rigidity mechanisms underlying his quantum unique ergodicity work.	A
Alain Connes	Collège de France / IHES	Connes adelic school (survey row 3)	The no-go theorem supports, rather than attacks, his premise that adelic and prime-place structure is essential to a spectral approach to RH.	A
Caterina Consani	Johns Hopkins University	Connes–Consani adelic school (row 3)	The non-arithmetic countermodel supplies evidence that the arithmetic geometry built into the scaling-site and adelic program is indispensable.	A
Matilde Marcolli	California Institute of Technology	Noncommutative geometry / arithmetic	The result cleanly separates generic spectral apparatus from arithmetic structure, a boundary central to her noncommutative-arithmetic work.	A
Henri Moscovici	Ohio State University	Noncommutative geometry / Connes school	The metatheorem offers a rigorous negative control for spectral programs lacking the arithmetic structure used in noncommutative geometry.	A
Masoud Khalkhali	Western University	Noncommutative geometry	The scattering counterexample is a useful conceptual foil for noncommutative-geometric approaches that encode genuinely arithmetic data.	A
Walter D. van Suijlekom	Radboud University	Noncommutative geometry	The machine-checked logical core and sharp arithmetic/non-arithmetic boundary should interest his mathematically rigorous spectral-geometry program.	A
Ralf Meyer	University of Göttingen	Noncommutative geometry / operator algebras	The result provides a concrete warning about what generic operator-algebraic and spectral axioms cannot force without arithmetic input.	A
Christopher Deninger	University of Münster	Arithmetic dynamical systems / zeta functions	The no-go theorem constrains purely analytic spectral analogies while underscoring the arithmetic content in dynamical approaches to zeta functions.	A
Oliver Lorscheid	University of Groningen	(mathbf F_1) geometry / arithmetic	The result helps motivate why a successful zeta framework must encode more than functional equation and generic scattering structure.	A
Ivan Fesenko	University of Warwick	Adelic analysis / zeta functions	A certified failure of non-arithmetic spectral rigidity reinforces the role of higher adelic and arithmetic structures in his zeta program.	A
Jean-François Burnol	Université de Lille	Explicit formula / Hilbert-space approaches	The no-go metatheorem directly disciplines Hilbert-space and spectral constructions by requiring an identifiable arithmetic input.	A
Enrico Bombieri	Institute for Advanced Study	RH commentary / axiomatic (L)-functions	The theorem supplies a spectral counterpart to the established Euler-product lesson emphasized in authoritative RH accounts.	A
J. Brian Conrey	American Institute of Mathematics	RH / proof-schema precedent (survey row 4)	The work follows the negative-control logic of Conrey–Li and should interest him as a new spectral instance of that methodology.	A
Jeffrey C. Lagarias	University of Michigan	RH criteria / zeta functions (rows 5, 7)	The metatheorem clarifies which analytic or Hilbert-space criteria need arithmetic content to yield zero-line rigidity.	A
Michel Lapidus	University of California, Riverside	Spectral zeta functions / RH	The explicit spectral countermodel is directly relevant to attempts to connect geometric spectra, fractal strings, and RH-type statements.	A
Ricardo Pérez-Marco	CNRS / Université Paris-Saclay	RH commentary / spectral approaches	His work and surveys on RH and the Davenport–Heilbronn negative control make the spectral analogue especially pertinent.	A
Jerzy Kaczorowski	Adam Mickiewicz University	Selberg class (survey row 11)	The result is the spectral-side mirror of why the Selberg class includes an Euler-product axiom.	A
Alberto Perelli	University of Genoa	Selberg class (survey row 11)	As a leading axiomatic (L)-function specialist, he is a natural referee for the claim that the spectral setting now has its own negative control.	A
Jörn Steuding	University of Würzburg	Selberg class / value distribution	The metatheorem parallels the distinction between functional-equation axioms and Euler-product structure central to his work.	A
K. Soundararajan	Stanford University	(L)-functions / RH	The result isolates arithmetic input from generic analytic structure, a foundational issue in modern work on zeta and (L)-function zeros.	A
Henryk Iwaniec	Rutgers University	Automorphic forms / (L)-functions	The (G_5) example sharply contrasts arithmetic automorphic spectra with analytically similar non-arithmetic scattering determinants.	A
Emmanuel Kowalski	ETH Zürich	Analytic number theory / (L)-functions	The negative control makes precise why arithmetic families and Euler products cannot be replaced by generic analytic axioms.	A
Antanas Laurinčikas	Vilnius University	Value distribution / Selberg class	The distinction between functional equations and Euler products is central to his work on universality and axiomatic zeta classes.	A
M. Ram Murty	Queen's University	(L)-functions / Selberg class	The result offers a spectral counterpart to axiomatic investigations of which (L)-function properties genuinely depend on arithmetic.	A
V. Kumar Murty	University of Toronto	Automorphic forms / (L)-functions	The arithmetic/non-arithmetic contrast is relevant to his work on automorphic representations, zeta functions, and arithmetic spectral data.	A
Hugh Montgomery	University of Michigan	Zeta zeros / random matrices	The result distinguishes statistical spectral universality from exact on-line rigidity, a crucial boundary for the Montgomery–Odlyzko tradition.	A
Michael Berry	University of Bristol	Berry–Keating quantum chaos (survey row 2)	A rigorous scattering countermodel tests the idea that generic quantum-chaotic spectral structure alone can explain RH line rigidity.	A
Jon Keating	University of Oxford	Berry–Keating / random matrices (rows 2, 8)	The result directly bears on which parts of quantum-chaotic zeta models are universal and which must encode primes.	A
Nina Snaith	University of Bristol	Random matrices / (L)-functions (row 8)	The arithmetic/non-arithmetic split clarifies the boundary between successful statistical models and exact zero-line claims.	A
Eugene Bogomolny	Université Paris-Saclay	Quantum chaos / zeta statistics	Explicit non-arithmetic scattering resonances provide a stringent comparison case for semiclassical and random-matrix descriptions of zeta spectra.	A
Carl M. Bender	Washington University in St. Louis	PT symmetry / Hilbert–Pólya (row 2)	The metatheorem directly challenges self-adjoint or PT-symmetric constructions whose line-rigidity step uses only generic analytic structure.	A
Dorje C. Brody	University of Surrey	Quantum models of RH (row 2)	The (G_5) countermodel supplies the missing spectral negative control for operator constructions modeled on the Riemann zeros.	A
Markus Müller	Forschungszentrum Jülich	Quantum chaos / RH Hamiltonians	The result bears directly on the generic self-adjointness and spectral-rigidity assumptions in quantum-Hamiltonian approaches to RH.	A
Germán Sierra	Instituto de Física Teórica UAM-CSIC	Quantum models of RH	The theorem provides a rigorous benchmark demanding that any (xp)-type or many-body model identify where arithmetic enters.	A
André LeClair	Cornell University	Mathematical physics / RH models	The no-go result is directly relevant to spectral and statistical-mechanical proposals that seek line rigidity from generic analytic machinery.	A
Fritz Haake	University of Duisburg-Essen	Quantum chaos	The two certified resonances sharpen the contrast between universal chaotic spectral statistics and arithmetic zero-line rigidity.	A
Sven Gnutzmann	University of Nottingham	Quantum graphs / quantum chaos	Scattering determinants and resonance spectra are core objects in his work, making the non-arithmetic certified example a natural benchmark.	A
Uzy Smilansky	Weizmann Institute of Science	Quantum chaos / scattering	The result provides exact hyperbolic scattering data relevant to trace-formula and quantum-chaos comparisons.	A
Tsampikos Kottos	Wesleyan University	Wave chaos / scattering	Certified off-line resonances give a mathematically controlled case for studying what chaotic scattering does and does not force spectrally.	A
Martin Sieber	University of Bristol	Quantum chaos / periodic-orbit theory	The (G_5) divisor offers a rigorous test case for periodic-orbit and semiclassical reasoning about spectral statistics.	A
Stefan Keppeler	University of Tübingen	Semiclassical analysis / quantum chaos	The example exposes the limit of generic semiclassical spectral structure in producing exact critical-line rigidity.	A
Jens Bolte	Royal Holloway, University of London	Quantum chaos / zeta functions	The no-go theorem directly informs quantum-Hamiltonian and spectral approaches to the Riemann zeros.	A
Gregory Berkolaiko	Texas A&M University	Quantum graphs / spectral theory	Explicit scattering zeros and a no-common-line certificate are relevant to his work on graph spectra, resonances, and trace formulas.	A
Brian Winn	Loughborough University	Quantum chaos / number theory	The arithmetic/non-arithmetic control case connects closely to his work at the interface of quantum chaos and zeta statistics.	A
Jack Kuipers	University of Regensburg	Quantum chaos / spectral statistics	The certified (G_5) resonances provide a rigorous counterpoint to universal semiclassical predictions for chaotic spectral systems.	A
Marcel Novaes	Federal University of São Carlos	Quantum chaos / random matrices	The result helps delineate which resonance statistics are universal and which exact rigidity phenomena demand arithmetic.	A
Peter Forrester	University of Melbourne	Random matrices / spectral statistics	The example reinforces the distinction between random-matrix agreement in statistics and exact critical-line localization.	A
Steve Gonek	University of Rochester	ANT / zeta zeros (Gonek–Hejhal)	Discrete moments and the Gonek conjectures on \(\zeta'/\zeta\) at zeros; the \(G_5\) pins are a spectral sibling of the zero-objects those conjectures describe.	B
Nathan Ng	University of Lethbridge	ANT / zeta zeros (Gonek–Hejhal)	Discrete moments at the zeros of \(\zeta\); active mid-career carrier of the Gonek–Ng tradition.	B
Andrew Odlyzko	University of Minnesota	ANT / zeta computation (Montgomery–Odlyzko)	Canonical high-height zero computations; natural reader of an interval-certified localization for a different meromorphic function.	B
Terence Tao	UCLA	ANT / de Bruijn–Newman (survey row 6); Lean	Rodgers–Tao \(\Lambda\ge 0\) and Polymath15; also a Lean-formalization audience for the machine-checked logical core.	B
Brad Rodgers	Queen's University	ANT / de Bruijn–Newman (row 6)	Co-proved \(\Lambda\ge 0\) from zeta-zero statistics; mid-career.	B
Michel Balazard	CNRS / Université de Bordeaux	ANT / Nyman–Beurling (row 5)	Leading analytic work on the Nyman–Beurling criterion; the no-go disciplines generic Hilbert-space attempts to verify the approximation.	B
Eric Saias	Sorbonne Université	ANT / Nyman–Beurling (row 5)	Balazard–Saias work on Nyman–Beurling densities; same Hilbert-space exposure as row 5.	B
Kristian Seip	NTNU Trondheim	ANT / Nyman–Beurling (row 5)	Beurling–Selberg extremals and Hilbert spaces of entire functions; the right function-theoretic referee for row-5 exposure.	B
Masatoshi Suzuki	Institute of Science Tokyo	ANT / Nyman–Beurling + Selberg zeta	Active RH-equivalents via Hilbert-space criteria, and zeros of Selberg-type zeta functions.	B
Titus Hilberdink	University of Reading	Beurling generalized primes (survey addendum)	Which PNT facts survive weakened multiplicativity; series-side sibling of “arithmetic input is essential”.	B
Giuseppe Molteni	University of Milan	ANT / Selberg class (row 11)	Analytic estimates in the Selberg class; Perelli school, mid-career.	B
Łukasz Pańkowski	Adam Mickiewicz University	ANT / Selberg class (row 11)	Joint universality / value-distribution inside the Selberg class; junior–mid, Kaczorowski school.	B
Anup B. Dixit	IMSc Chennai	ANT / Selberg class (row 11)	Recent work on Selberg-class axioms and L-function classes; junior–mid.	B
Ramūnas Garunkštis	Vilnius University	ANT / Selberg zeta (row 11)	Zeros of Selberg and Hurwitz zeta; Steuding-school collaborator.	B
Sandro Bettin	University of Genoa	ANT / zeta moments	Moments of \(\zeta\) and the Estermann function; Perelli school, mid-career.	B
Hung M. Bui	University of Manchester	ANT / zeta zeros	Moments, mollifiers, and simple zeros of \(\zeta\).	B
Micah B. Milinovich	University of Mississippi	ANT / zeta zeros	Simple zeros and gap statistics of \(\zeta\).	B
Caroline Turnage-Butterbaugh	Carleton College	ANT / zeta zeros	Zero-density and simple-zero theorems; junior–mid.	B
Maksym Radziwiłł	University of Texas at Austin	ANT / multiplicative	Critical multiplicative functions and zeros; the Matomäki–Radziwiłł rigidity-versus-randomness contrast.	B
Kaisa Matomäki	University of Turku	ANT / multiplicative	Short-interval multiplicative functions; arithmetic rigidity versus Cramér-type models (survey addendum).	B
Adam Harper	University of Warwick	ANT / random multiplicative	Random multiplicative functions; probabilistic-prime sibling of the no-go.	B
Andrew Granville	Université de Montréal	ANT / pretentious	Pretentious number theory; high-visibility amplifier for “the Euler product is load-bearing”.	B
Shin-ya Koyama	Toyo University (prev. Keio)	ANT / Selberg zeta / Hecke	Project interlocutor; Selberg zeta, Hecke groups, and RH-type questions.	B
Dorian Goldfeld	Columbia University	ANT / Eisenstein (row 12)	Eisenstein-series methods toward GRH; the arithmetic contrast case for which non-arithmetic Hecke groups are the control.	B
Yoichi Motohashi	Nihon University	ANT / spectral theory of zeta	Spectral (Kuznetsov/Motohashi) theory of \(\zeta\); senior spectral-side analytic NT.	B
André Voros	CEA Saclay	ANT / Li–Keiper (row 7)	Spectral functions and Li/Keiper coefficients; the arithmetic-versus-generic split of Li’s criterion is exactly row 7.	B
Philippe Michel	EPFL	ANT / automorphic L-functions (row 12)	Subconvexity by arithmetic spectral methods; a working instance of a spectral program that succeeds *because* it is arithmetic.	B
Will Sawin	Columbia University	ANT / arithmetic statistics (row 10)	Function-field L-functions and murmurations; the discovered signal is arithmetic (\(a_p\) vs conductor), matching the no-go’s moral.	B
Steven J. Miller	Williams College	RMT / low-lying zeros (row 8)	1-level densities in families; Katz–Sarnak symmetry types read off arithmetic.	B
Nicholas M. Katz	Princeton University	RMT / monodromy (row 8)	Katz–Sarnak symmetry types; the arithmetic origin of the RMT group is the point the no-go isolates.	B
David W. Farmer	AIM	RMT / LMFDB (row 8)	L-function data, moments, and Maass-form computations; evaluator of certified spectral data.	B
Michael Rubinstein	University of Waterloo	RMT / computational L-functions (row 8)	`lcalc`, Rubinstein–Sarnak; computational tests of RMT against L-function zeros.	B
Christopher Hughes	University of York	RMT / zeta zeros (row 8)	RMT models for zeta zeros and moments; Keating–Snaith circle.	B
Daniel Fiorilli	University of Ottawa	RMT / low-lying zeros (row 8)	Low-lying zeros and biases in families; mid-career.	B
Alexandra Florea	UC Irvine	RMT / moments (row 8)	Moments of L-functions in families; junior–mid.	B
Matthew P. Young	Texas A&M University	RMT / L-function families (row 8)	Families, moments, hybrid subconvexity.	B
Pär Kurlberg	KTH	RMT / arithmetic quantum chaos (row 8)	Spectral statistics of arithmetic hyperbolic surfaces; geodesic-flow sibling of the Hecke-triangle setting.	B
Ian Petrow	University College London	RMT / moments (row 8)	Petrow–Young moment conjectures in higher rank; mid-career.	B
Chantal David	Concordia University	RMT / arithmetic statistics (row 8)	Statistics of L-functions in families over number fields and function fields.	B
Wenzhi Luo	Ohio State University	RMT / low-lying zeros (row 8)	Iwaniec–Luo–Sarnak 1-level density; founding low-lying-zeros paper.	B
Fredrik Johansson	Inria Bordeaux	Certified computation / Arb	Author of Arb; the interval engine of the \(G_5\) contour certificates.	B
Warwick Tucker	Uppsala University	Certified computation / CAPD	Computer-assisted proofs by interval arithmetic; methodological cousin of the Arb contours.	B
Siegfried M. Rump	TU Hamburg	Certified computation / INTLAB	INTLAB rigorous numerical linear algebra; interval-arithmetic audience for (iii).	B
Assia Mahboubi	Inria / Nantes Université	Formalization / Coq	Formalized analysis and computer algebra; proof-assistant audience for the Lean logical core.	B
Thomas Hales	University of Pittsburgh	Formalization	Flyspeck; the existence proof that a large computer-assisted argument can be fully machine-checked.	B
Kevin Buzzard	Imperial College London	Formalization / Lean / mathlib NT	mathlib and the formalization of modern number theory; primary Lean-NT audience for (iii).	B
Jeremy Avigad	Carnegie Mellon University	Formalization / Lean	Lean/mathlib foundations and formalized analysis.	B
Patrick Massot	Université Paris-Saclay	Formalization / Lean	mathlib; Lean as a medium for communicating proofs.	B
Johan Commelin	Utrecht University	Formalization / Lean	mathlib / Lean 4; large formalization projects.	B
Sébastien Gouëzel	Université de Rennes	Formalization / dynamics	mathlib analysis, and independently transfer operators / ergodic theory — both halves of (iii)+(i).	B
Chris Birkbeck	University College London	Formalization / modular forms	mathlib modular-forms library; mid-career.	B
María Inés de Frutos-Fernández	Universidad Autónoma de Madrid	Formalization / NT	mathlib number theory and adic spaces; junior–mid.	B
Andrew Sutherland	MIT	Computational NT / LMFDB	LMFDB infrastructure; certified arithmetic computation at scale.	B
John Cremona	University of Warwick	Computational NT / LMFDB	LMFDB; modular elliptic curves; senior computational-NT venue.	B
John Voight	University of Sydney	Computational NT / Fuchsian	Quaternion algebras, Shimura curves, computational Fuchsian groups — adjacent to Hecke triangle groups.	B
Aurel Page	Inria Bordeaux	Computational NT / Kleinian	Computational Kleinian and Fuchsian groups in PARI; exact computational counterpart of \(G_q\).	B
Jennifer Balakrishnan	Boston University	Computational NT	Certified p-adic and computational arithmetic geometry; verification culture.	B
Tim Trudgian	UNSW Canberra	Computational NT / zeros	Explicit zero-free regions and verified zero counts for \(\zeta\); sibling of interval-certified localization.	B
Ghaith Hiary	Ohio State University	Computational NT / zeta	Fast high-height algorithms for \(\zeta\); computational-zeros audience.	B
Jonathan Bober	University of Bristol	Computational NT / L-functions	Computational L-functions in the Booker–Platt circle (those two are in Batch A).	B
Min Lee	University of Bristol	Computational Maass forms	Certified Maass-form computations with Booker; evaluator of a certified non-arithmetic spectrum.	B
Andreas Strömbergsson	Uppsala University	Homogeneous dynamics / Farey	Equidistribution proofs of Farey/BCZ statistics (with Marklof, who is in Batch A).	B
Florin P. Boca	UIUC	Farey statistics (BCZ)	Boca–Cobeli–Zaharescu map; Hecke-group analogues of Farey statistics.	B
Alexandru Zaharescu	UIUC	Farey statistics (BCZ)	Farey fractions, Kloosterman sums; origin of the BCZ tradition and the Franel–Landau thread.	B
Jayadev S. Athreya	University of Washington	Farey / translation surfaces	Farey statistics via homogeneous dynamics; Veech groups.	B
Cristian Cobeli	IMAR Bucharest	Farey statistics (BCZ)	Co-originator of the BCZ map.	B
Alan Haynes	University of Houston	Farey / adelic equidistribution	Farey fractions, Bohr sets, adelic dynamics.	B
Christopher Lutsko	Rutgers University	Homogeneous dynamics / Farey	Farey statistics and hyperbolic lattice-point counting; junior (Marklof/Kontorovich).	B
Samuel Edwards	Uppsala University	Homogeneous dynamics	Effective equidistribution on homogeneous spaces (Strömbergsson school); junior.	B
Manfred Einsiedler	ETH Zürich	Homogeneous dynamics	Measure rigidity and equidistribution; the dynamics half of the Farey origin story.	B
Akshay Venkatesh	IAS	Homogeneous dynamics / L-functions	QUE, periods, L-functions; the person for whom (1), (2), (4), and (5) are one subject.	B
Alex Eskin	University of Chicago	Translation surfaces / Veech	\(\mathrm{SL}(2,\mathbb{R})\) orbit closures on strata; magic-wand theorem.	B
Anton Zorich	IMJ-PRG	Translation surfaces	Moduli of translation surfaces; Lyapunov exponents.	B
Alex Wright	University of Michigan	Translation surfaces / Veech	Classification of orbit closures; mid-career.	B
Curtis T. McMullen	Harvard University	Veech groups	Veech surfaces, billiards, moduli dynamics; senior geometric counterpart of Hecke triangle groups.	B
Barak Weiss	Tel Aviv University	Translation surfaces / Veech	Lattice surfaces and Diophantine dynamics.	B
Corinna Ulcigrai	University of Zurich	Translation surfaces	Locally Hamiltonian flows and Teichmüller dynamics.	B
Pascal Hubert	Aix-Marseille Université	Veech / translation surfaces	Veech groups and interval exchanges.	B
Thomas A. Schmidt	Oregon State University	Veech groups	Arithmetic of Veech groups; closest Veech-side neighbour of Hecke triangle groups.	B
Kariane Calta	Vassar College	Veech groups	Veech surfaces in genus 2.	B
Vincent Delecroix	CNRS / Université de Bordeaux	Translation surfaces	Computational moduli of translation surfaces (`surface-dynamics`).	B
Howard Masur	University of Chicago	Translation surfaces	Masur–Veech measure; senior founder of the stratum dynamics used by the Veech/Hecke audience.	B
W. Patrick Hooper	CCNY	Translation surfaces / Veech	Geometric and computational Veech surfaces.	B
Dimitrios Chatzakos	University of Patras	Prime geodesic theorem	PGT error terms on hyperbolic surfaces; junior–mid. The LAW supplies off-line resonances their explicit formulae must bookkeep (no \(\Omega\)-claim).	B
Giacomo Cherubini	Charles University Prague	Prime geodesic theorem	Second-moment PGT; junior–mid; same bookkeeping use as Chatzakos.	B
Ikuya Kaneko	Caltech	Prime geodesic theorem	Recent explicit-formula PGT stream; junior.	B
Niko Laaksonen	Royal Holloway, University of London	Prime geodesic theorem	PGT in arithmetic progressions; junior–mid.	B
Anders Södergren	Chalmers	Prime geodesic / Epstein	PGT and Epstein zeta; Epstein is the other classical negative control sitting next to Davenport–Heilbronn.	B
Werner Müller	University of Bonn	Selberg trace / scattering	Analytic trace formula and scattering determinants of locally symmetric spaces; the operator-theoretic home of \(\varphi_q\).	B
Jasmin Matz	University of Copenhagen	Analytic trace formula	Weyl laws and analytic trace formulae; mid-career.	B
Junehyuk Jung	Texas A&M University	Spectral / QUE on hyperbolic surfaces	Eigenfunctions on hyperbolic surfaces; arithmetic versus non-arithmetic spectral behaviour.	B
Tobias Weich	Paderborn University	Resonances / transfer operators	Resonances of hyperbolic surfaces via transfer operators; Pohl–Hilgert school, mid-career (those two are in Batch A).	B
